Date,Open,High,Low,Close,Adj Close,Volume
2016-09-01,81.58999633789062,88.9800033569336,79.93000030517578,88.7699966430664,71.28386688232422,99198200
2016-10-01,88.2300033569336,89.87000274658203,82.70999908447266,83.45999908447266,67.61144256591797,105556900
2016-11-01,83.47000122070312,96.44000244140625,80.33000183105469,95.55999755859375,77.41370391845703,121009500
2016-12-01,96.0,97.4000015258789,91.0,92.73999786376953,75.12923431396484,88839100
2017-01-01,94.0,99.45999908447266,92.19999694824219,95.66000366210938,78.13777160644531,94104300
2017-02-01,95.80999755859375,99.19999694824219,92.11000061035156,96.66000366210938,78.95457458496094,85107800
2017-03-01,98.19999694824219,98.97000122070312,90.33999633789062,92.76000213623047,75.76895904541016,142419000
2017-04-01,92.43000030517578,105.9800033569336,91.0,102.26000213623047,84.22264099121094,111612100
2017-05-01,102.6500015258789,105.94000244140625,97.73999786376953,105.43000030517578,86.83348083496094,103921000
2017-06-01,105.7699966430664,108.18000030517578,102.30000305175781,107.45999908447266,88.50541687011719,105087500
2017-07-01,106.51000213623047,114.9000015258789,105.11000061035156,113.94999694824219,94.52812194824219,86813400
2017-08-01,114.2699966430664,118.83000183105469,112.08999633789062,117.48999786376953,97.4647445678711,66522800
2017-09-01,117.48999786376953,125.55000305175781,116.5,124.70999908447266,103.45414733886719,64132400
2017-10-01,124.4000015258789,140.44000244140625,123.94999694824219,135.8000030517578,113.32589721679688,92524700
2017-11-01,135.6699981689453,141.3300018310547,133.80999755859375,141.14999389648438,117.79051971435547,61119100
2017-12-01,141.60000610351562,158.64999389648438,138.3800048828125,157.5800018310547,131.5014190673828,74722200
2018-01-01,158.3000030517578,173.24000549316406,155.39999389648438,162.77999877929688,136.4713592529297,134897200
2018-02-01,161.24000549316406,164.60000610351562,142.85000610351562,154.6300048828125,129.63853454589844,126876000
2018-03-01,153.6699981689453,159.33999633789062,143.6300048828125,147.3800048828125,123.5603256225586,125301400
2018-04-01,146.44000244140625,161.10000610351562,138.0500030517578,144.36000061035156,121.63777160644531,118197600
2018-05-01,143.0800018310547,161.60000610351562,138.14999389648438,151.91000366210938,127.99939727783203,91621300
2018-06-01,153.3000030517578,159.19000244140625,132.67999267578125,135.6699981689453,114.31558227539062,90552600
2018-07-01,133.8000030517578,146.6999969482422,133.1999969482422,143.8000030517578,121.9088134765625,98578900
2018-08-01,142.97000122070312,143.77000427246094,129.42999267578125,138.85000610351562,117.71240234375,96097600
2018-09-01,137.86000061035156,157.72000122070312,136.92999267578125,152.49000549316406,129.27597045898438,80648700
2018-10-01,153.61000061035156,159.3699951171875,112.05999755859375,121.31999969482422,103.50653076171875,181855500
2018-11-01,122.58999633789062,135.97000122070312,120.94000244140625,135.6699981689453,115.7495346069336,126414800
2018-12-01,141.8800048828125,142.41000366210938,116.08999633789062,127.06999969482422,108.41226196289062,110482700
2019-01-01,124.02999877929688,137.72000122070312,120.44000244140625,133.16000366210938,114.33893585205078,119268900
2019-02-01,133.02999877929688,142.5500030517578,126.55000305175781,137.33999633789062,117.92813110351562,78957600
2019-03-01,138.86000061035156,139.77000427246094,129.22999572753906,135.49000549316406,116.33961486816406,81109400
2019-04-01,137.69000244140625,144.77000427246094,134.08999633789062,139.4199981689453,120.43977355957031,83893300
2019-05-01,139.5800018310547,139.92999267578125,118.73999786376953,119.80999755859375,103.49942779541016,107906500
2019-06-01,119.91000366210938,137.27000427246094,119.76000213623047,136.2899932861328,117.73587799072266,80059200
2019-07-01,139.3000030517578,140.6199951171875,128.4499969482422,131.6699981689453,114.62008666992188,90354900
2019-08-01,131.63999938964844,133.19000244140625,111.75,119.0,103.59070587158203,89144500
2019-09-01,117.9000015258789,133.99000549316406,115.4000015258789,126.30999755859375,109.95413970947266,79539300
