Date,Open,High,Low,Close,Adj Close,Volume
2016-09-01,119.19000244140625,119.97000122070312,117.04000091552734,118.12999725341797,90.44934844970703,130378400
2016-10-01,118.0,120.19999694824219,112.98999786376953,115.98999786376953,88.810791015625,140054500
2016-11-01,114.76000213623047,122.5,111.30000305175781,111.30000305175781,85.80868530273438,171310900
2016-12-01,111.36000061035156,117.30000305175781,109.31999969482422,115.20999908447266,88.8231430053711,138044800
2017-01-01,115.77999877929688,117.0,110.76000213623047,113.25,87.31204986572266,143312500
2017-02-01,112.4800033569336,122.87999725341797,112.47000122070312,122.20999908447266,94.84336853027344,133814500
2017-03-01,122.48999786376953,129.0,122.38999938964844,124.55000305175781,96.65935516357422,166544900
2017-04-01,124.7300033569336,125.80999755859375,120.94999694824219,123.47000122070312,95.82122802734375,106205200
2017-05-01,123.4000015258789,128.8000030517578,122.33999633789062,128.25,100.19085693359375,112541500
2017-06-01,128.32000732421875,137.0,128.1199951171875,132.2899932861328,103.34697723388672,145558900
2017-07-01,132.7899932861328,137.0800018310547,129.57000732421875,132.72000122070312,103.68289947509766,107885800
2017-08-01,133.1699981689453,134.97000122070312,130.89999389648438,132.3699951171875,104.0672607421875,107061100
2017-09-01,132.60000610351562,135.7899932861328,129.0500030517578,130.00999450683594,102.2118911743164,116205400
2017-10-01,130.16000366210938,144.35000610351562,130.02000427246094,139.41000366210938,109.60200500488281,123841100
2017-11-01,139.8300018310547,141.8699951171875,136.60000610351562,139.3300018310547,110.20992279052734,93742200
2017-12-01,139.57000732421875,143.8000030517578,138.60000610351562,139.72000122070312,110.51841735839844,114023200
2018-01-01,139.66000366210938,148.32000732421875,138.10000610351562,138.19000244140625,109.30818176269531,170954200
2018-02-01,137.52999877929688,140.6699981689453,122.1500015258789,129.8800048828125,103.39282989501953,177033700
2018-03-01,129.11000061035156,135.6999969482422,124.9000015258789,128.14999389648438,102.0156478881836,151837800
2018-04-01,127.81999969482422,132.8800048828125,123.54000091552734,126.48999786376953,100.69417572021484,144094200
2018-05-01,126.31999969482422,127.61000061035156,118.62000274658203,119.62000274658203,95.93145751953125,139533300
2018-06-01,120.37999725341797,124.8499984741211,119.97000122070312,121.33999633789062,97.31084442138672,138683200
2018-07-01,121.33999633789062,132.63999938964844,120.11000061035156,132.52000427246094,106.27684783935547,145735900
2018-08-01,132.38999938964844,137.42999267578125,128.92999267578125,134.69000244140625,108.73697662353516,123996800
2018-09-01,134.69000244140625,143.1300048828125,133.44000244140625,138.1699981689453,111.5464096069336,122168800
2018-10-01,138.25999450683594,141.42999267578125,132.22999572753906,139.99000549316406,113.0157241821289,167964600
2018-11-01,140.07000732421875,148.75,139.0,146.89999389648438,119.34947204589844,152746600
2018-12-01,145.57000732421875,148.99000549316406,121.0,129.0500030517578,104.84718322753906,289169400
2019-01-01,128.1300048828125,135.19000244140625,125.0,133.0800018310547,108.12135314941406,174392900
2019-02-01,134.02000427246094,137.9499969482422,131.25999450683594,136.63999938964844,111.74996948242188,119453700
2019-03-01,137.22000122070312,140.0,135.74000549316406,139.7899932861328,114.326171875,137354500
2019-04-01,139.99000549316406,141.4499969482422,134.4199981689453,141.1999969482422,115.47933197021484,124329800
2019-05-01,140.9499969482422,142.35000610351562,128.52000427246094,131.14999389648438,107.9939193725586,159034100
2019-06-01,131.5,144.97999572753906,131.0399932861328,139.27999877929688,114.68846130371094,150883000
2019-07-01,140.1999969482422,142.47000122070312,127.83999633789062,130.22000122070312,107.22814178466797,159847900
2019-08-01,130.25999450683594,134.10000610351562,126.62999725341797,128.36000061035156,106.48856353759766,176400700
2019-09-01,127.98999786376953,132.77999877929688,126.33999633789062,129.3800048828125,107.33476257324219,122925900
2019-10-01,130.02000427246094,137.49000549316406,126.0999984741211,132.0399932861328,109.54148864746094,206654300
2019-11-01,132.0500030517578,138.6300048828125,129.67999267578125,137.49000549316406,114.85313415527344,127753600
