Date,Open,High,Low,Close,Adj Close,Volume
2016-09-01,32.95066452026367,33.19734191894531,31.59392738342285,32.13472366333008,20.401344299316406,419697845
2016-10-01,32.00189971923828,32.25806427001953,29.99051284790039,30.08538818359375,19.10028648376465,418534440
2016-11-01,29.354839324951172,32.09677505493164,28.301708221435547,30.493358612060547,19.552366256713867,780947914
2016-12-01,30.59772300720215,31.59392738342285,28.946868896484375,30.81593894958496,19.759206771850586,535010715
2017-01-01,31.024667739868164,31.973434448242188,29.3168888092041,30.1043643951416,19.302946090698242,554605632
2017-02-01,29.8956356048584,32.694496154785156,29.658443450927734,32.371917724609375,20.9683780670166,547100201
2017-03-01,32.51423263549805,32.96963882446289,31.99241065979004,32.457305908203125,21.023683547973633,543237926
2017-04-01,32.362430572509766,32.75142288208008,31.755218505859375,32.18216323852539,20.8454647064209,372101525
2017-05-01,32.15370178222656,32.24857711791992,30.332067489624023,30.977230072021484,20.259199142456055,560117629
2017-06-01,30.996204376220703,32.713470458984375,30.04743766784668,31.869070053100586,20.842466354370117,490650490
2017-07-01,31.764705657958984,32.2296028137207,31.015180587768555,31.461101531982422,20.575658798217773,321926065
2017-08-01,31.347248077392578,32.27703857421875,30.66413688659668,32.18216323852539,21.252819061279297,409668614
2017-09-01,32.20113754272461,34.35483932495117,32.0208740234375,33.870967864990234,22.368093490600586,407977576
2017-10-01,33.842506408691406,34.89563751220703,32.35293960571289,33.263755798339844,21.96709632873535,364220978
2017-11-01,33.2163200378418,34.61100769042969,33.0170783996582,34.402278900146484,22.926563262939453,300375665
2017-12-01,34.43074035644531,35.436431884765625,33.34914779663086,34.36432647705078,22.901273727416992,331790876
2018-01-01,34.51612854003906,37.40986633300781,34.37381362915039,35.14231491088867,23.41974449157715,505479112
2018-02-01,34.734344482421875,35.48387145996094,31.49905014038086,34.44971466064453,23.170869827270508,587799570
2018-03-01,34.26945114135742,35.14231491088867,32.561668395996094,33.67172622680664,22.64759063720703,507176897
2018-04-01,33.60531234741211,35.360530853271484,32.9791259765625,34.734344482421875,23.36231803894043,446961980
2018-05-01,33.75711441040039,34.39278793334961,32.609107971191406,34.08918380737305,23.152202606201172,511773388
2018-06-01,34.402278900146484,34.91461181640625,33.89942932128906,34.4212532043457,23.377721786499023,457395207
2018-07-01,34.15559768676758,37.94117736816406,34.15559768676758,37.88425064086914,25.72968101501465,418253865
2018-08-01,37.5996208190918,40.5787467956543,37.466793060302734,39.39278793334961,26.982023239135742,500528790
2018-09-01,39.35483932495117,42.18216323852539,39.108158111572266,41.8121452331543,28.63916015625,369588789
2018-10-01,41.774192810058594,43.46299743652344,39.52561569213867,40.85388946533203,27.982805252075195,604661777
2018-11-01,40.986717224121094,43.88994216918945,40.180267333984375,43.861480712890625,30.27468490600586,507886765
2018-12-01,43.99430847167969,44.08918380737305,38.34914779663086,41.41366195678711,28.585115432739258,565803643
2019-01-01,40.91081619262695,41.46110153198242,37.447818756103516,40.275142669677734,28.042062759399414,631956054
2019-02-01,40.673622131347656,41.53700256347656,39.098670959472656,41.129032135009766,28.636594772338867,450906154
2019-03-01,41.37571334838867,41.54648971557617,38.27324676513672,40.29411697387695,28.055267333984375,554205954
2019-04-01,40.39848327636719,41.062618255615234,36.45161437988281,38.52941131591797,26.82657814025879,486234339
2019-05-01,38.51043701171875,40.30360412597656,37.82732391357422,39.39278793334961,27.67097282409668,552863473
2019-06-01,39.497154235839844,42.0208740234375,39.44022750854492,41.10057067871094,28.87058448791504,461187921
2019-07-01,41.28083419799805,42.27703857421875,36.53700256347656,36.850093841552734,25.8848934173584,590900013
2019-08-01,36.34724807739258,36.64136505126953,32.2296028137207,33.72865295410156,23.91392707824707,641234099
2019-09-01,33.785579681396484,35.8254280090332,33.69070053100586,34.08918380737305,24.1695499420166,443911600
2019-10-01,34.08918380737305,36.831119537353516,32.82732391357422,36.4041748046875,25.81089210510254,407113297
2019-11-01,36.70777893066406,36.94497299194336,34.44022750854492,36.54648971557617,26.162220001220703,446281096
2019-12-01,36.80265808105469,37.59013366699219,35.85388946533203,37.17267608642578,26.61048126220703,387120076
2020-01-01,37.286529541015625,38.870967864990234,34.810245513916016,35.332069396972656,25.551231384277344,531835964
2020-02-01,35.54079818725586,36.593929290771484,30.863378524780273,31.707780838012695,22.93024253845215,586886279
2020-03-01,32.17267608642578,34.5920295715332,26.45161247253418,30.967742919921875,22.395063400268555,1019616939
2020-04-01,30.284629821777344,37.21062469482422,29.91461181640625,36.39468765258789,26.319686889648438,533383339
2020-05-01,35.91081619262695,37.01138687133789,34.715370178222656,36.2333984375,26.464187622070312,474627691
2020-06-01,33.68121337890625,34.78178405761719,29.99051284790039,31.024667739868164,22.659833908081055,811003042
2020-07-01,32.7703971862793,37.4288444519043,31.4041748046875,36.50853729248047,26.92576026916504,824072643
2020-08-01,36.63187789916992,37.09677505493164,35.48387145996094,35.85388946533203,26.44294548034668,470078941
2020-09-01,35.85388946533203,35.882354736328125,33.56736373901367,34.819732666015625,25.680233001708984,510247724
2020-10-01,35.01897430419922,36.85958480834961,32.82732391357422,33.66223907470703,24.826560974121094,555231707
2020-11-01,34.08918380737305,39.83871078491211,33.71916580200195,38.310001373291016,28.544946670532227,1091575597
2020-12-01,39.400001525878906,43.08000183105469,36.290000915527344,36.810001373291016,27.427289962768555,1161346900
2021-01-01,36.869998931884766,37.83000183105469,35.619998931884766,35.900001525878906,27.040241241455078,689094500
2021-02-01,35.93000030517578,36.189998626708984,33.36000061035156,33.4900016784668,25.225004196166992,665243900
2021-03-01,33.59000015258789,36.7400016784668,33.439998626708984,36.22999954223633,27.28880500793457,675588700
2021-04-01,36.29999923706055,39.66999816894531,35.7599983215332,38.650001525878906,29.1115665435791,558679000
2021-05-01,39.040000915527344,41.09000015258789,37.959999084472656,38.72999954223633,29.459274291992188,615262500
2021-06-01,38.939998626708984,40.720001220703125,38.47999954223633,39.15999984741211,29.786348342895508,485677900
