,SNDK,MU,LITE,WDC,MRNA,STX,CIEN,INTC,DELL,TER,MRVL,COHR,LRCX,AMAT,ECHO,AMD,FIX,VLO,HPE,WBD,GLW,CNC,FLEX,KLAC,MPC,VRT,APA,PANW,FTNT,CAT,KEYS,PSX,NEM,JBHT,TRGP,CRWD,CRL,DDOG,FCX,LLY,ALB,MRK,NTAP,STLD,FDX,PWR,GOOGL,TGT,CASY,GOOG
2016-09-01,,17.337940216064453,41.77000045776367,39.13584899902344,,25.875944137573242,21.799999237060547,30.5870361328125,12.186124801635742,20.46634864807129,12.390223503112793,24.329999923706055,8.29875659942627,27.099136352539062,35.518638610839844,6.909999847412109,27.590360641479492,36.130714416503906,10.005648612976074,26.920000076293945,18.426416397094727,33.47999954223633,10.263752937316895,5.951050281524658,30.11161994934082,,49.522499084472656,26.55500030517578,7.386000156402588,71.28386688232422,31.690000534057617,55.447540283203125,30.767498016357422,74.0486068725586,32.415931701660156,,83.33999633789062,,9.780901908874512,68.63209533691406,75.09443664550781,44.14118957519531,27.996549606323242,20.61121940612793,120.4342269897461,27.44558334350586,39.849639892578125,50.870662689208984,112.03936004638672,38.52482604980469
2016-10-01,,16.733356475830078,33.599998474121094,39.11576843261719,,23.029939651489258,19.3799991607666,28.253509521484375,12.514997482299805,22.08810806274414,12.166141510009766,27.799999237060547,8.487143516540527,26.137409210205078,37.87682342529297,7.230000019073486,27.157360076904297,40.384578704833984,9.906521797180176,26.110000610351562,17.694032669067383,31.239999771118164,10.693292617797852,6.412041187286377,32.337162017822266,,46.302886962890625,25.63833236694336,6.4120001792907715,67.61144256591797,32.79999923706055,55.86054611206055,29.00555992126465,74.47754669189453,29.565710067749023,,75.87999725341797,,10.069108009338379,63.142173767089844,73.39035034179688,41.53134536743164,26.672571182250977,22.648420333862305,120.18600463867188,28.190807342529297,40.139076232910156,50.907684326171875,105.58423614501953,38.884178161621094
2016-11-01,,19.044424057006836,40.099998474121094,42.609676361083984,,26.91637420654297,21.450000762939453,28.32864761352539,13.65457820892334,23.1771240234375,13.38928508758545,30.200000762939453,9.28977108001709,29.0343017578125,41.329010009765625,8.90999984741211,30.384662628173828,42.359161376953125,10.492889404296875,27.09000015258789,18.8306941986084,28.815000534057617,10.730972290039062,6.864941120147705,35.16971206665039,,51.33955001831055,22.395000457763672,6.019999980926514,77.41374206542969,36.83000183105469,57.624576568603516,25.403350830078125,87.26905059814453,35.889678955078125,,71.0999984741211,,13.824755668640137,57.77163314819336,77.10595703125,43.2783203125,28.731571197509766,29.263147354125977,132.1481170654297,33.06414031982422,38.453025817871094,57.69614791870117,112.55528259277344,37.57075119018555
2016-12-01,,21.3750057220459,38.650001525878906,45.80751419067383,,26.040462493896484,24.40999984741211,29.610370635986328,14.014043807983398,24.14680290222168,13.006267547607422,29.649999618530273,9.304582595825195,29.09742546081543,41.645057678222656,11.34000015258789,31.422649383544922,47.01067352294922,10.229039192199707,27.40999984741211,19.01877784729004,28.2549991607666,10.828936576843262,6.765199184417725,37.660465240478516,,49.40895462036133,20.84166717529297,6.02400016784668,75.12921905517578,36.56999969482422,59.93428421020508,26.71969223022461,88.82464599609375,37.76194381713867,,76.19000244140625,,11.879383087158203,63.306087493896484,75.8660659790039,41.95694351196289,27.717790603637695,29.45687484741211,128.6385955810547,34.17216873168945,39.274253845214844,53.95382308959961,111.08820343017578,38.253726959228516
2017-01-01,,23.510562896728516,37.95000076293945,53.74883270263672,,30.802391052246094,24.34000015258789,30.05938148498535,16.058658599853516,26.97977066040039,13.943995475769043,36.5,10.108050346374512,30.882768630981445,41.27228546142578,10.369999885559082,31.94163703918457,45.24916458129883,10.02569580078125,28.350000381469727,20.758445739746094,31.635000228881836,11.80859088897705,7.3180742263793945,35.940120697021484,,46.7527961730957,24.593332290649414,6.6519999504089355,78.13777923583984,37.06999969482422,56.61193084716797,28.4528865814209,90.6639404296875,39.418479919433594,,80.80000305175781,,14.995579719543457,66.30140686035156,81.64766693115234,44.180580139160156,30.27643585205078,27.99148178100586,130.6490020751953,35.191925048828125,40.64905548095703,48.16477966308594,107.59950256347656,39.49131774902344
2017-02-01,,22.85721778869629,45.900001525878906,51.82755661010742,,32.87633514404297,26.34000015258789,29.764190673828125,16.18613624572754,27.101211547851562,14.628535270690918,35.599998474121094,10.431903839111328,32.75218200683594,43.168556213378906,14.460000038146973,35.999229431152344,47.24626159667969,10.0875825881958,28.760000228881836,21.758487701416016,35.25,12.426526069641113,7.797452926635742,37.367034912109375,,41.10214614868164,25.316667556762695,7.46999979019165,78.95458984375,37.599998474121094,54.66291046142578,26.853015899658203,90.04141998291016,38.65228271484375,,86.97000122070312,,12.068517684936523,71.75602722167969,89.4651870727539,46.94586944580078,33.04966354370117,30.30133628845215,133.3226776123047,36.594120025634766,41.87518310546875,44.303985595703125,107.2998046875,40.80077362060547
2017-03-01,,28.181467056274414,53.349998474121094,55.9838752746582,,31.761438369750977,23.610000610351562,29.657316207885742,16.336549758911133,29.635988235473633,14.364923477172852,36.04999923706055,11.33911418914795,35.17558670043945,46.15073013305664,14.550000190734863,34.64988327026367,46.09204864501953,10.507116317749023,29.09000015258789,21.277769088745117,35.630001068115234,12.660136222839355,8.22574234008789,38.0751953125,,40.16426086425781,18.780000686645508,7.670000076293945,75.7689437866211,36.13999938964844,55.38297653198242,25.88837242126465,84.14384460449219,40.9782600402832,,89.94999694824219,,12.032490730285645,72.88250732421875,93.39515686035156,45.61207962036133,33.065467834472656,28.90719223022461,135.10194396972656,36.38820266723633,42.017417907714844,41.60519027709961,105.11784362792969,41.11549758911133
2017-04-01,,26.9820499420166,42.75,60.42027282714844,,29.133665084838867,22.90999984741211,29.723079681396484,17.1090145111084,33.60969161987305,14.138999938964844,33.150001525878906,12.795812606811523,36.72187805175781,46.645057678222656,13.300000190734863,34.697139739990234,44.92393112182617,11.024633407592773,28.780000686645508,22.735687255859375,37.20000076293945,11.650339126586914,8.498289108276367,38.37654495239258,,38.20430374145508,18.06833267211914,7.800000190734863,84.22264862060547,37.43000030517578,55.62068557739258,26.55600357055664,82.23607635498047,38.33635711669922,,89.69999694824219,,11.483102798461914,71.10615539550781,96.2861328125,44.743465423583984,31.631181716918945,30.054819107055664,131.3289337158203,34.75068283081055,45.81970977783203,42.10273361206055,105.17034912109375,44.90211486816406
2017-05-01,,30.00497055053711,57.04999923706055,61.091827392578125,,30.129467010498047,23.479999542236328,29.911067962646484,17.690282821655273,33.943267822265625,16.228776931762695,30.0,13.707464218139648,41.58026885986328,47.85251235961914,11.1899995803833,32.638893127441406,43.19590377807617,11.13115406036377,26.5,23.053544998168945,36.314998626708984,13.006781578063965,9.046875953674316,39.47505569458008,,36.727657318115234,19.764999389648438,7.868000030517578,86.83349609375,38.63999938964844,53.677738189697266,26.823057174682617,78.51189422607422,31.938840866088867,,92.05000305175781,,10.34830379486084,69.39376831054688,100.43250274658203,46.73908996582031,32.139190673828125,28.266836166381836,134.19500732421875,30.063657760620117,48.92070388793945,42.02693557739258,109.22441101074219,47.82136917114258
2017-06-01,,29.117599487304688,57.04999923706055,60.43041229248047,,27.204105377197266,25.020000457763672,27.947925567626953,15.579376220703125,28.672752380371094,15.606658935546875,34.29999923706055,12.529210090637207,37.438560485839844,49.18962860107422,12.479999542236328,35.14957046508789,47.405181884765625,9.855132102966309,25.829999923706055,23.806150436401367,39.939998626708984,12.290882110595703,7.960383415222168,39.695037841796875,,37.64664077758789,22.301666259765625,7.48799991607666,88.50540924072266,38.93000030517578,58.31840133666992,25.47831153869629,84.02924346923828,31.431215286254883,,101.1500015258789,,10.816633224487305,71.77460479736328,93.5760498046875,46.34516906738281,31.78994369506836,29.920068740844727,150.8145294189453,32.279701232910156,46.075439453125,39.847476959228516,100.51571655273438,45.03940200805664
