,NVDA,INTC,F,TSLA,AAPL,PFE,PLTR,T,AMZN,NFLX,AMD,SMCI,MU,BAC,WBD,GOOGL,CMCSA,KVUE,MSFT,HOOD,ORCL,HBAN,VZ,AVGO,MRVL,HPE,CCL,WMT,CSCO,PCG,GOOG,NKE,CMG,UBER,NCLH,NOW,TTD,XOM,PYPL,FCX,KO,META,KEY,SLB,HPQ,CVNA,WFC,RF,KHC,BSX
2016-09-01,1.6828714609146118,30.5870361328125,7.1217217445373535,13.60200023651123,25.852914810180664,20.401342391967773,,15.268675804138184,41.865501403808594,9.854999542236328,6.909999847412109,2.3369998931884766,17.337940216064453,12.582660675048828,26.920000076293945,39.849639892578125,23.963333129882812,,51.14692306518555,,33.83230209350586,6.558899402618408,30.35025405883789,13.264945030212402,12.390223503112793,10.005648612976074,42.8233528137207,20.34224510192871,23.571353912353516,58.27948760986328,38.52482604980469,46.00633239746094,8.470000267028809,,37.70000076293945,15.829999923706055,2.9210000038146973,56.6630973815918,40.618228912353516,9.780901908874512,31.22490119934082,127.15339660644531,8.086459159851074,59.70280838012695,11.167024612426758,,33.623382568359375,6.913815498352051,56.93003463745117,23.799999237060547
2016-10-01,1.7477107048034668,28.253509521484375,7.013311386108398,13.182000160217285,25.964967727661133,19.10028076171875,,14.056306838989258,39.49100112915039,12.487000465393066,7.230000019073486,2.369999885559082,16.733356475830078,13.266061782836914,26.110000610351562,40.139076232910156,22.423568725585938,,53.20699691772461,,33.219764709472656,7.051149845123291,28.405073165893555,13.0927095413208,12.166141510009766,9.906521797180176,43.068965911865234,19.749919891357422,22.986936569213867,59.184593200683594,38.884178161621094,43.847999572753906,7.215199947357178,,38.869998931884766,17.582000732421875,2.5179998874664307,54.092227935791016,41.302303314208984,10.069108009338379,31.283939361572266,129.8497314453125,9.38215446472168,59.39153289794922,10.41919994354248,,34.9370231628418,7.50222635269165,56.573848724365234,22.0
2016-11-01,2.267849922180176,28.32864761352539,7.144735813140869,12.626667022705078,25.404094696044922,19.552370071411133,,14.759307861328125,37.528499603271484,11.699999809265137,8.90999984741211,2.734999895095825,19.044424057006836,17.043560028076172,27.09000015258789,38.453025817871094,25.212913513183594,,53.870391845703125,,34.75019073486328,8.288426399230957,29.468053817749023,13.108855247497559,13.38928508758545,10.492889404296875,45.40524673461914,19.86556625366211,22.34259033203125,56.021488189697266,37.57075119018555,43.751888275146484,7.926599979400635,,39.810001373291016,16.6299991607666,2.6579999923706055,57.17793273925781,38.94273376464844,13.824755668640137,30.0230655670166,117.38912963867188,11.557851791381836,63.810035705566406,11.073545455932617,,40.51883316040039,9.48460578918457,52.30452346801758,20.459999084472656
2016-12-01,2.6254899501800537,29.610370635986328,7.246288776397705,14.246000289916992,26.622358322143555,19.75920867919922,,16.249385833740234,37.493499755859375,12.380000114440918,11.34000015258789,2.805000066757202,21.3750057220459,17.83440589904785,27.40999984741211,39.274253845214844,25.14472198486328,,55.551063537597656,,33.2457160949707,8.847037315368652,31.523141860961914,13.669424057006836,13.006267547607422,10.229039192199707,45.97933578491211,19.63559913635254,22.642282485961914,58.36585235595703,38.253726959228516,44.57624435424805,7.54640007019043,,42.529998779296875,14.868000030517578,2.7669999599456787,59.116615295410156,39.131107330322266,11.879383087158203,30.848987579345703,114.0484848022461,12.198841094970703,64.1112060546875,10.761574745178223,,42.195640563964844,10.105130195617676,55.936683654785156,21.6299991607666
2017-01-01,2.6855080127716064,30.05938148498535,7.502681732177734,16.795333862304688,27.893484115600586,19.302947998046875,,16.356821060180664,41.17399978637695,14.071000099182129,10.369999885559082,2.6449999809265137,23.510562896728516,18.27017593383789,28.350000381469727,40.64905548095703,27.464374542236328,,57.79490280151367,,34.81684494018555,9.054492950439453,29.251893997192383,15.427106857299805,13.943995475769043,10.02569580078125,48.91154479980469,18.959487915039062,23.214542388916016,59.4415397644043,39.49131774902344,46.39154815673828,8.428799629211426,,47.0,18.124000549316406,2.9660000801086426,54.944522857666016,39.438446044921875,14.995579719543457,30.930837631225586,129.185546875,11.998531341552734,63.92790985107422,10.913862228393555,,43.12974548339844,10.14031982421875,57.19865798950195,24.059999465942383
2017-02-01,2.4992599487304688,29.764190673828125,7.6058783531188965,16.666000366210938,31.62500762939453,20.96837043762207,,16.213272094726562,42.25199890136719,14.213000297546387,14.460000038146973,2.5999999046325684,22.85721778869629,19.916431427001953,28.760000228881836,41.87518310546875,27.253162384033203,,57.542694091796875,,36.96957778930664,9.462715148925781,29.6219539642334,16.310977935791016,14.628535270690918,10.0875825881958,49.72636032104492,20.149784088134766,25.829206466674805,64.1092758178711,40.80077362060547,50.1274299621582,8.374799728393555,,50.70000076293945,17.384000778198242,4.2210001945495605,53.74831771850586,41.63938522338867,12.068517684936523,31.221017837524414,134.360107421875,12.588828086853027,61.74531173706055,12.59626293182373,,44.61751174926758,10.745497703552246,58.62079620361328,24.549999237060547
2017-03-01,2.6827399730682373,29.657316207885742,7.065637588500977,18.553333282470703,33.16481399536133,21.023681640625,,16.12015724182129,44.32699966430664,14.781000137329102,14.550000190734863,2.5350000858306885,28.181467056274414,19.094846725463867,29.09000015258789,42.017417907714844,27.376972198486328,,59.233543395996094,,38.7230110168457,9.012566566467285,29.096725463867188,17.008712768554688,14.364923477172852,10.507116317749023,52.357112884521484,20.62703514099121,25.542041778564453,64.20186614990234,41.11549758911133,49.025634765625,8.910400390625,,50.72999954223633,17.493999481201172,3.7249999046325684,54.20436096191406,42.6506233215332,12.032490730285645,31.856882095336914,140.81346130371094,11.924853324890137,60.00883483886719,13.066264152526855,,42.90618133544922,10.268527030944824,58.55629348754883,24.8700008392334
2017-04-01,2.568711757659912,29.723079681396484,7.056275844573975,20.937999725341797,33.162506103515625,20.845460891723633,,15.619373321533203,46.2495002746582,15.220000267028809,13.300000190734863,2.440000057220459,26.9820499420166,18.892478942871094,28.780000686645508,45.81970977783203,28.662742614746094,,61.57194137573242,,39.1949577331543,8.655826568603516,27.728601455688477,17.152427673339844,14.138999938964844,11.024633407592773,54.898983001708984,21.514163970947266,25.97036361694336,64.86943817138672,44.90211486816406,48.7441520690918,9.489399909973145,,53.93000030517578,18.895999908447266,3.734999895095825,53.96641159057617,47.310272216796875,11.483102798461914,32.38983917236328,148.94204711914062,12.233366966247559,55.77518081665039,13.753194808959961,2.2200000286102295,41.503231048583984,9.717293739318848,58.28548049926758,26.3799991607666
2017-05-01,3.5588126182556152,29.911067962646484,6.8409576416015625,22.733999252319336,35.41115951538086,20.259206771850586,,15.185827255249023,49.73099899291992,16.30699920654297,11.1899995803833,2.4600000381469727,30.00497055053711,18.19927406311035,26.5,48.92070388793945,30.491201400756836,,63.17314910888672,,39.56981658935547,8.44044303894043,28.16950798034668,18.602699279785156,16.228776931762695,11.13115406036377,57.313385009765625,22.643375396728516,24.034208297729492,66.15616607666016,47.82136917114258,46.615272521972656,9.54699993133545,,49.970001220703125,20.93000030517578,5.5,53.70877456665039,51.76171875,10.34830379486084,34.131317138671875,150.14151000976562,11.778863906860352,53.854278564453125,13.709345817565918,2.009999990463257,39.698490142822266,9.78089714050293,59.85560989379883,27.030000686645508
2017-06-01,3.5639889240264893,27.947925567626953,6.884020805358887,24.107332229614258,33.38515853881836,20.842466354370117,,14.870526313781738,48.400001525878906,14.940999984741211,12.479999542236328,2.4649999141693115,29.117599487304688,19.7016658782959,25.829999923706055,46.075439453125,28.581443786621094,,62.35000991821289,,43.71075439453125,9.154677391052246,26.973628997802734,18.18031120300293,15.606658935546875,9.855132102966309,58.65518569946289,21.802175521850586,23.858888626098633,64.72322845458984,45.03940200805664,52.07917785644531,8.321999549865723,,54.290000915527344,21.200000762939453,5.011000156402588,53.862247467041016,53.20918273925781,10.816633224487305,33.9429817199707,149.6656951904297,12.635136604309082,50.95222091674805,12.87012004852295,4.093999862670898,43.01316452026367,10.400196075439453,55.59689712524414,27.719999313354492
