,NVDA,AAPL,GOOGL,GOOG,MSFT,AMZN,AVGO,TSLA,META,LLY,MU,BRK-B,JPM,WMT,AMD,V,XOM,JNJ,MA,INTC,ABBV,CSCO,PLTR,BAC,ORCL,COST,CVX,LRCX,KO,AMAT,CAT,MRK,GE,UNH,MS,PG,HD,NFLX,GS,PM,PANW,DELL,RTX,GEV,WFC,TXN,KLAC,ANET,AMGN,SNDK
2016-09-01,1.6828714609146118,25.852914810180664,39.849639892578125,38.52482604980469,51.14692306518555,41.865501403808594,13.264945030212402,13.60200023651123,127.15339660644531,68.63209533691406,17.337940216064453,144.47000122070312,51.202354431152344,20.34224510192871,6.909999847412109,77.06438446044922,56.6630973815918,90.44934844970703,95.95539093017578,30.5870361328125,41.838050842285156,23.571353912353516,,12.582660675048828,33.83230209350586,128.8354034423828,67.50382232666016,8.29875659942627,31.22490119934082,27.099136352539062,71.28386688232422,44.14118957519531,128.0467071533203,119.25276184082031,24.198070526123047,68.3504638671875,101.57389068603516,9.854999542236328,131.78228759765625,59.973121643066406,26.55500030517578,12.186124801635742,50.91270446777344,,33.623382568359375,53.398040771484375,5.951050281524658,5.317500114440918,123.79608154296875,
2016-10-01,1.7477107048034668,25.964967727661133,40.139076232910156,38.884178161621094,53.20699691772461,39.49100112915039,13.0927095413208,13.182000160217285,129.8497314453125,63.142173767089844,16.733356475830078,144.3000030517578,53.642520904541016,19.749919891357422,7.230000019073486,76.88733673095703,54.092227935791016,88.81077575683594,101.0952377319336,28.253509521484375,37.34333038330078,22.986936569213867,,13.266061782836914,33.219764709472656,124.91566467285156,68.7040786743164,8.487143516540527,31.283939361572266,26.137409210205078,67.61144256591797,41.53134536743164,125.79869079589844,120.38570404052734,25.489547729492188,66.61424255371094,96.30894470214844,12.487000465393066,145.6493377685547,59.491939544677734,25.63833236694336,12.514997482299805,51.21337890625,,34.9370231628418,53.90781784057617,6.412041187286377,5.296875,104.76024627685547,
2016-11-01,2.267849922180176,25.404094696044922,38.453025817871094,37.57075119018555,53.870391845703125,37.528499603271484,13.108855247497559,12.626667022705078,117.38912963867188,57.77163314819336,19.044424057006836,157.44000244140625,62.092411041259766,19.86556625366211,8.90999984741211,72.20266723632812,57.17793273925781,85.80865478515625,96.54206848144531,28.32864761352539,40.70409393310547,22.34259033203125,,17.043560028076172,34.75019073486328,127.19823455810547,73.9031982421875,9.28977108001709,30.0230655670166,29.0343017578125,77.41374206542969,43.2783203125,132.97488403320312,135.3948516845703,31.40445327758789,63.28354263305664,102.68456268310547,11.699999809265137,179.74887084960938,54.458187103271484,22.395000457763672,13.65457820892334,54.31237030029297,,40.51883316040039,56.66286849975586,6.864941120147705,5.925624847412109,107.6421127319336,
2016-12-01,2.6254899501800537,26.622358322143555,39.274253845214844,38.253726959228516,55.551063537597656,37.493499755859375,13.669424057006836,14.246000289916992,114.0484848022461,63.306087493896484,21.3750057220459,162.97999572753906,66.83241271972656,19.63559913635254,11.34000015258789,72.85630798339844,59.116615295410156,88.8231201171875,97.53392791748047,29.610370635986328,41.92253112792969,22.642282485961914,,17.83440589904785,33.2457160949707,135.6719207763672,77.97063446044922,9.304582595825195,30.848987579345703,29.09742546081543,75.12921905517578,41.95694351196289,137.63424682617188,136.86572265625,32.08021926879883,64.52679443359375,106.39836883544922,12.380000114440918,196.27377319335938,57.0875358581543,20.84166717529297,14.014043807983398,55.270355224609375,,42.195640563964844,55.927085876464844,6.765199184417725,6.04812479019165,109.24098205566406,
2017-01-01,2.6855080127716064,27.893484115600586,40.64905548095703,39.49131774902344,57.79490280151367,41.17399978637695,15.427106857299805,16.795333862304688,129.185546875,66.30140686035156,23.510562896728516,164.13999938964844,65.90940856933594,18.959487915039062,10.369999885559082,77.23588562011719,54.944522857666016,87.31204986572266,100.65156555175781,30.05938148498535,41.324424743652344,23.214542388916016,,18.27017593383789,34.81684494018555,138.92584228515625,73.76409149169922,10.108050346374512,30.930837631225586,30.882768630981445,78.13777923583984,44.180580139160156,129.35879516601562,138.6274871826172,32.409706115722656,67.76099395751953,109.17578125,14.071000099182129,187.97032165527344,59.98277282714844,24.593332290649414,16.058658599853516,55.29557418823242,,43.12974548339844,58.264400482177734,7.3180742263793945,5.875,117.06365203857422,
2017-02-01,2.4992599487304688,31.62500762939453,41.87518310546875,40.80077362060547,57.542694091796875,42.25199890136719,16.310977935791016,16.666000366210938,134.360107421875,71.75602722167969,22.85721778869629,171.4199981689453,70.57438659667969,20.149784088134766,14.460000038146973,82.27607727050781,53.74831771850586,94.84336853027344,104.56101989746094,29.764190673828125,41.81807327270508,25.829206466674805,,19.916431427001953,36.96957778930664,150.5408935546875,75.2392578125,10.431903839111328,31.221017837524414,32.75218200683594,78.95458984375,46.94586944580078,130.87351989746094,141.43252563476562,34.83527755737305,70.44512939453125,114.99246215820312,14.213000297546387,203.8627166748047,68.23171997070312,25.316667556762695,16.18613624572754,57.08536148071289,,44.61751174926758,59.0974006652832,7.797452926635742,7.436874866485596,132.80430603027344,
2017-03-01,2.6827399730682373,33.16481399536133,42.017417907714844,41.11549758911133,59.233543395996094,44.32699966430664,17.008712768554688,18.553333282470703,140.81346130371094,72.88250732421875,28.181467056274414,166.67999267578125,68.40931701660156,20.62703514099121,14.550000190734863,83.14617156982422,54.20436096191406,96.6594009399414,106.46366119384766,29.657316207885742,44.06316375732422,25.542041778564453,,19.094846725463867,38.7230110168457,142.47772216796875,71.808349609375,11.33911418914795,31.856882095336914,35.17558670043945,75.7689437866211,45.61207962036133,130.82960510253906,140.7837371826172,32.676673889160156,69.50141906738281,117.22515869140625,14.781000137329102,188.79034423828125,71.09539794921875,18.780000686645508,16.336549758911133,56.91290283203125,,42.90618133544922,62.13633728027344,8.22574234008789,8.266875267028809,123.43057250976562,
2017-04-01,2.568711757659912,33.162506103515625,45.81970977783203,44.90211486816406,61.57194137573242,46.2495002746582,17.152427673339844,20.937999725341797,148.94204711914062,71.10615539550781,26.9820499420166,165.2100067138672,68.14444732666016,21.514163970947266,13.300000190734863,85.34484100341797,53.96641159057617,95.82119750976562,110.3245849609375,29.723079681396484,45.03424072265625,25.97036361694336,,18.892478942871094,39.1949577331543,150.82974243164062,71.36029052734375,12.795812606811523,32.38983917236328,36.72187805175781,84.22264862060547,44.743465423583984,127.2734375,150.11441040039062,33.23072814941406,68.06940460205078,124.6260757446289,15.220000267028809,183.92518615722656,69.79817199707031,18.06833267211914,17.1090145111084,60.35171890258789,,41.503231048583984,61.45076370239258,8.498289108276367,8.727499961853027,122.8663558959961,
2017-05-01,3.5588126182556152,35.41115951538086,48.92070388793945,47.82136917114258,63.17314910888672,49.73099899291992,18.602699279785156,22.733999252319336,150.14151000976562,69.39376831054688,30.00497055053711,165.27999877929688,64.34559631347656,22.643375396728516,11.1899995803833,89.254638671875,53.70877456665039,100.19084167480469,116.54646301269531,29.911067962646484,45.088863372802734,24.034208297729492,,18.19927406311035,39.56981658935547,159.9612274169922,69.91073608398438,13.707464218139648,34.131317138671875,41.58026885986328,86.83349609375,46.73908996582031,120.2051773071289,150.3719024658203,31.981800079345703,68.6617660522461,123.2664794921875,16.30699920654297,174.20391845703125,75.4404525756836,19.764999389648438,17.690282821655273,61.849456787109375,,39.698490142822266,64.01959228515625,9.046875953674316,9.211250305175781,117.63204193115234,
2017-06-01,3.5639889240264893,33.38515853881836,46.075439453125,45.03940200805664,62.35000991821289,48.400001525878906,18.18031120300293,24.107332229614258,149.6656951904297,71.77460479736328,29.117599487304688,169.3699951171875,71.59085083007812,21.802175521850586,12.479999542236328,87.89563751220703,53.862247467041016,103.34696197509766,115.19017791748047,27.947925567626953,49.52127456665039,23.858888626098633,,19.7016658782959,43.71075439453125,141.7868194580078,70.4850082397461,12.529210090637207,33.9429817199707,37.438560485839844,88.50540924072266,46.34516906738281,119.58112335205078,159.81906127929688,34.14252471923828,67.92910766601562,123.17820739746094,14.940999984741211,182.9776153564453,74.59593963623047,22.301666259765625,15.579376220703125,62.27275085449219,,43.01316452026367,59.70454025268555,7.960383415222168,9.3618745803833,130.50607299804688,
